PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
13467;Aparcamiento público. Las Cortes;;;;;  Plazas : 480  Abierto 24 horas  Admite Tarjeta Bono REd   Titularidad : Ayuntamiento de Madrid ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=42c77339ae51c010VgnVCM2000000c205a0aRCRD;LAS CORTES;PLAZA;NUM;0;;;;;MADRID;MADRID;28014;CORTES;;441115;4474345;4.041.576.756.093.720;-3.695.367.083.138.700;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13449;Aparcamiento público. Luna - Tudescos;;;;;  Plazas : 481  Abierto 24 horas  Admite Tarjeta Bono Red   Titularidad : Ayuntamiento de Madrid ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=54467339ae51c010VgnVCM2000000c205a0aRCRD;SANTA MARIA SOLEDAD TORRES ACOSTA;PLAZA;V;2;;;;;MADRID;MADRID;28004;UNIVERSIDAD;CENTRO;440255;4474983;404.214.535.549.175;-3.705.563.118.253.950;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13469;Aparcamiento público. Marqués de Urquijo;;;;;  Plazas : 482  Abierto 24 horas  Admite Tarjeta Bono Ted ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=aa667339ae51c010VgnVCM2000000c205a0aRCRD;MARQUES DE URQUIJO;CALLE;V;27;;;;;MADRID;MADRID;28008;ARGUELLES;MONCLOA-ARAVACA;439113;4475892;4.042.955.928.333.470;-3.719.111.078.507.020;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13465;Aparcamiento público. Montalbán;;; Admite la Tarjeta BonoRed (Bono Red);;  Plazas:  275  Abierto 24 horas  Admite Tarjet Bono Red   Titularidad:  Ayuntamiento de Madrid ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0967339ae51c010VgnVCM2000000c205a0aRCRD;MONTALBAN;CALLE;V;4;;;;;MADRID;MADRID;28014;LOS JERONIMOS;RETIRO;441477;4474593;4.041.802.725.000.110;-3.691.123.387.515.540;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13451;Aparcamiento público. Mostenses;;;;;  Plazas:  362  Abierto 24 horas  Admite Tarjeta Bono Red    Titularidad:  Ayuntamiento de Madrid ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fe0881eb5f51c010VgnVCM2000000c205a0aRCRD;GARCIA MOLINAS;CALLE;V;4;;;;;MADRID;MADRID;28015;UNIVERSIDAD;CENTRO;439979;4475132;404.227.759.148.193;-3.708.830.424.647.750;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
88141;Aparcamiento público. Museo de la Ciudad;;;;;  Plazas:  147  Abierto 24 horas   Titularidad:  Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bdc7bdc85c01c010VgnVCM2000000c205a0aRCRD;PRINCIPE DE VERGARA;CALLE;V;134;;;;;MADRID;MADRID;28002;CIUDAD JARDIN;CHAMARTIN;442593;4477430;4.044.366.224.087.450;-36.782.263.814.004.500;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13450;Aparcamiento público. Olavide;;;;;  Plazas : 397  Acceso para minusválidos  Admite la Tarjeta BonoRed (Bono Red) Abierto 24 horas   Titularidad : Ayuntamiento de Madrid  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=453881eb5f51c010VgnVCM2000000c205a0aRCRD;OLAVIDE;PLAZA;V;17;;;;;MADRID;MADRID;28010;TRAFALGAR;CHAMBERI;440639;4476237;4.043.277.769.820.200;-37.011.542.013.121.200;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13454;Aparcamiento público. Plaza de Colón;;;;;  Plazas : 605  Abierto 24 horas  Admite Tarjeta Bono Red   Titularidad : Ayuntamiento de Madrid ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a5777339ae51c010VgnVCM2000000c205a0aRCRD;GOYA;CALLE;V;2;;;;;MADRID;MADRID;28001;RECOLETOS;SALAMANCA;441682;4475386;4.042.518.540.300.910;-36.887.800.207.651.400;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13463;Aparcamiento público. Plaza de España;;;;;  Plazas : 824  Abierto 24 horas  Admite Tarjeta Bono Red   Titularidad : Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fb977339ae51c010VgnVCM2000000c205a0aRCRD;"ESPA&Ntilde;A";PLAZA;V;20;;;;;MADRID;MADRID;28008;ARGUELLES;MONCLOA-ARAVACA;439740;4475239;4.042.372.251.184.830;-37.116.577.340.508.500;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13466;Aparcamiento público. Plaza Mayor;;;;;  Plazas : 694  Abierto 24 horas  Admite Tarjeta Bono Red   Titularidad : Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b1981eb5f51c010VgnVCM2000000c205a0aRCRD;FELIPE III;CALLE;V;11;;;;;MADRID;MADRID;28012;SOL;CENTRO;440137;4474364;4.041.586.882.022.000;-3.706.895.619.414.360;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13474;Aparcamiento público. Rey;;;;;  Plazas : 160  Abierto 24 horas  Admite Tarjeta Bono Red   Titularidad : Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d4f881eb5f51c010VgnVCM2000000c205a0aRCRD;REY;PLAZA;V;1;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;441024;4474864;4.042.043.650.809.210;-369.648.782.734.286;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13456;Aparcamiento público. Santa Ana;;;;;  Plazas:  325  Abierto 24 horas  Admite Tarjeta Bono Red   Titularidad:  Ayuntamiento de Madrid ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9b5881eb5f51c010VgnVCM2000000c205a0aRCRD;SANTA ANA;PLAZA;V;16;;;;;MADRID;MADRID;28012;CORTES;CENTRO;440645;4474250;4.041.487.830.605.110;-3.700.897.645.451.050;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13468;Aparcamiento público. Velázquez - Juan Bravo;;;;;  Plazas:  371  Abierto 24 horas  Admite Tarjeta Bono Red   Titularidad:  Ayuntamiento de Madrid ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e3077339ae51c010VgnVCM2000000c205a0aRCRD;VELAZQUEZ;CALLE;V;88-B;;;;;MADRID;MADRID;28006;CASTELLANA;SALAMANCA;442140;4476138;40.431.991.827.319.100;-3.683.449.815.935.090;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13453;Aparcamiento público. Villa de París;;;;;  Plazas:  341  Abierto 24 horas  Admite Tarjeta Bono Red   Titularidad:  Ayuntamiento de Madrid ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=38a881eb5f51c010VgnVCM2000000c205a0aRCRD;MARQUES DE LA ENSENADA;CALLE;V;1-B;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;441373;4475380;4.042.533.530.030.620;-36.923.416.648.619.900;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
