Codigo de via;Clase de la via;Particula de la via;Nombre de la via;Tipo de tramo ;Nombre de la aproximacion;Numero inicial del tramo;Calificador del numero inicial del tramo;Numero final del tramo;Calificador del numero final del tramo;Zona S E R  del tramo
862;TRAVESIA                ;DE    ;SANTA MARIA MAGDALENA                           ;impar;NUM;1;  ;999;  ;55
862;TRAVESIA                ;DE    ;SANTA MARIA MAGDALENA                           ;par  ;NUM;2;  ;998;  ;55
863;PLAZA                   ;DEL   ;DESCUBRIDOR DIEGO DE ORDAS                      ;impar;NUM;1;  ;999;  ;75
863;PLAZA                   ;DEL   ;DESCUBRIDOR DIEGO DE ORDAS                      ;par  ;NUM;2;  ;998;  ;75
868;CALLE                   ;DEL   ;PUERTO DE MIRAVETE                              ;impar;NUM;1;  ;999;  ;24
868;CALLE                   ;DEL   ;PUERTO DE MIRAVETE                              ;par  ;NUM;2;  ;998;  ;24
869;CALLE                   ;DEL   ;PUERTO DE LA CRUZ VERDE                         ;impar;NUM;1;  ;999;  ;24
869;CALLE                   ;DEL   ;PUERTO DE LA CRUZ VERDE                         ;par  ;NUM;2;  ;998;  ;24
870;CALLE                   ;DEL   ;TEJO                                            ;impar;NUM;1;  ;999;  ;27
870;CALLE                   ;DEL   ;TEJO                                            ;par  ;NUM;2;  ;998;  ;27
871;CALLE                   ;DEL   ;JACARANDA                                       ;impar;NUM;1;  ;999;  ;27
871;CALLE                   ;DEL   ;JACARANDA                                       ;par  ;NUM;2;  ;998;  ;27
872;CALLE                   ;DEL   ;ALMEZ                                           ;impar;NUM;1;  ;999;  ;27
872;CALLE                   ;DEL   ;ALMEZ                                           ;par  ;NUM;2;  ;998;  ;27
873;CALLE                   ;DEL   ;ACANTO                                          ;impar;NUM;1;  ;999;  ;27
873;CALLE                   ;DEL   ;ACANTO                                          ;par  ;NUM;2;  ;998;  ;27
874;CALLE                   ;DE LA ;RETAMA                                          ;impar;NUM;1;  ;999;  ;27
874;CALLE                   ;DE LA ;RETAMA                                          ;par  ;NUM;2;  ;998;  ;27
875;CALLE                   ;DEL   ;OMBU                                            ;impar;NUM;1;  ;999;  ;27
875;CALLE                   ;DEL   ;OMBU                                            ;par  ;NUM;2;  ;998;  ;27
876;CALLE                   ;DE LA ;KENTIA                                          ;impar;NUM;1;  ;999;  ;27
876;CALLE                   ;DE LA ;KENTIA                                          ;par  ;NUM;2;  ;998;  ;27
877;CALLE                   ;DEL   ;TAMARINDO                                       ;impar;NUM;1;  ;999;  ;27
877;CALLE                   ;DEL   ;TAMARINDO                                       ;par  ;NUM;2;  ;998;  ;27
917;PASEO                   ;DEL   ;DOCTOR VALLEJO NAGERA                           ;impar;NUM;11;  ;45;  ;22
917;PASEO                   ;DEL   ;DOCTOR VALLEJO NAGERA                           ;impar;NUM;47;  ;999;  ;21
917;PASEO                   ;DEL   ;DOCTOR VALLEJO NAGERA                           ;par  ;NUM;2;  ;40;  ;22
917;PASEO                   ;DEL   ;DOCTOR VALLEJO NAGERA                           ;par  ;NUM;42;  ;998;  ;21
918;CALLE                   ;DEL   ;ARANDANO                                        ;impar;NUM;1;  ;999;  ;65
918;CALLE                   ;DEL   ;ARANDANO                                        ;par  ;NUM;2;  ;998;  ;65
935;CALLE                   ;DE    ;BECERREA                                        ;impar;NUM;1;  ;999;  ;84
935;CALLE                   ;DE    ;BECERREA                                        ;par  ;NUM;2;  ;998;  ;84
944;CALLE                   ;DEL   ;DOCTOR RAMON CASTROVIEJO                        ;impar;NUM;1;  ;31;  ;84
945;PASEO                   ;DE LA ;VAGUADA                                         ;impar;NUM;1;  ;999;  ;84
964;TRAVESIA                ;DE    ;TELLEZ                                          ;impar;NUM;1;  ;999;  ;31
964;TRAVESIA                ;DE    ;TELLEZ                                          ;par  ;NUM;2;  ;998;  ;31
965;PLAZA                   ;DE LA ;VIRGEN DE LA PALOMA                             ;impar;NUM;1;  ;999;  ;11
965;PLAZA                   ;DE LA ;VIRGEN DE LA PALOMA                             ;par  ;NUM;2;  ;998;  ;11
966;CALLE                   ;DE    ;ISABEL TINTERO                                  ;impar;NUM;1;  ;999;  ;11
966;CALLE                   ;DE    ;ISABEL TINTERO                                  ;par  ;NUM;2;  ;998;  ;11
967;CALLE                   ;DE    ;GARGANTA DE LOS MONTES                          ;impar;NUM;1;  ;999;  ;27
967;CALLE                   ;DE    ;GARGANTA DE LOS MONTES                          ;par  ;NUM;2;  ;998;  ;27
1036;CALLE                   ;DEL   ;PUERTO DE BEJAR                                 ;impar;NUM;1;  ;999;  ;24
1036;CALLE                   ;DEL   ;PUERTO DE BEJAR                                 ;par  ;NUM;2;  ;998;  ;24
1095;CALLE                   ;DE LA ;SENDA DEL REY                                   ;impar;NUM;1;  ;9999;  ;91
1095;CALLE                   ;DE LA ;SENDA DEL REY                                   ;par  ;NUM;2;  ;9998;  ;91
1150;CALLE                   ;DE    ;ABDON TERRADAS                                  ;impar;NUM;1;  ;999;  ;71
1150;CALLE                   ;DE    ;ABDON TERRADAS                                  ;par  ;NUM;2;  ;998;  ;71
1157;PASAJE                  ;DE    ;HOYUELO                                         ;impar;NUM;1;  ;999;  ;31
1157;PASAJE                  ;DE    ;HOYUELO                                         ;par  ;NUM;2;  ;998;  ;31
1158;CALLE                   ;DE LAS;COCHERAS                                        ;impar;NUM;1;  ;999;  ;31
1158;CALLE                   ;DE LAS;COCHERAS                                        ;par  ;NUM;2;  ;998;  ;31
1159;PASAJE                  ;DEL   ;ALBERCHE                                        ;impar;NUM;1;  ;999;  ;31
1159;PASAJE                  ;DEL   ;ALBERCHE                                        ;par  ;NUM;2;  ;998;  ;31
1191;PLAZA                   ;DE    ;CASAR DE CACERES                                ;impar;NUM;1;  ;999;  ;25
1191;PLAZA                   ;DE    ;CASAR DE CACERES                                ;par  ;NUM;2;  ;998;  ;25
1194;PASAJE                  ;DE LOS;MAESTROS LADRILLEROS                            ;impar;NUM;1;  ;999;  ;65
1194;PASAJE                  ;DE LOS;MAESTROS LADRILLEROS                            ;par  ;NUM;2;  ;998;  ;65
1200;CALLE                   ;DEL   ;ABEDUL                                          ;impar;NUM;1;  ;999;  ;55
1200;CALLE                   ;DEL   ;ABEDUL                                          ;par  ;NUM;2;  ;998;  ;55
1500;CALLE                   ;DE    ;ABEL                                            ;impar;NUM;1;  ;999;  ;61
