 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;
7635629;"Charla sobre coaching en la Biblioteca Pública Municipal Iván de Vargas";"";"1";"0";"L,M,X,J,V,S,D";"";"2014-10-29 00:00:00.0";"2014-10-29 23:59:00.0";"18:30";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8a7cf89f7e678410VgnVCM1000000b205a0aRCRD";"Charla sobre coaching en la Biblioteca Pública Municipal Iván de Vargas";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1e4cf89f7e678410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Iván de Vargas (Centro)";"439884";"4474170";"40.41410290844665";"-3.7098591212735883";"/contenido/actividades/ConferenciasColoquios";
7687401;"Charlas en inglés, en la Biblioteca Pública Municipal Ángel González";"";"1";"1";"J";"25/12/2014;1/1/2015;";"2014-11-06 00:00:00.0";"2015-06-25 23:59:00.0";"19:30";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1172a13f5fc19410VgnVCM1000000b205a0aRCRD";"Charlas en inglés, en la Biblioteca Pública Municipal Ángel González";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3511afd2ddc19410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Ángel González (Latina)";"435063";"4472320";"40.397074625115906";"-3.7664885474841556";"/contenido/actividades/CursosTalleres";
7299726;"Club de lectura";"";"1";"1";"X";"3/9/2014;10/9/2014;17/9/2014;24/9/2014;8/10/2014;15/10/2014;22/10/2014;29/10/2014;12/11/2014;19/11/2014;26/11/2014;10/12/2014;17/12/2014;24/12/2014;31/12/2014;";"2014-10-01 00:00:00.0";"2014-12-03 23:59:00.0";"11:00";" Periodicidad: mensual Días: 1 de octubre; 5 de noviembre; 3 de diciembre Horario: de 11:00 a 12:30 h ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5330b81f314e3410VgnVCM1000000b205a0aRCRD";"Club de lectura";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7efa08650ed3410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c53e3d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Buenavista (Salamanca)";"443202";"4476130";"40.43199309720514";"-3.670929243543714";"/contenido/actividades/CursosTalleres";
7300275;"Club de lectura";"";"1";"1";"V";"5/9/2014;12/9/2014;19/9/2014;26/9/2014;10/10/2014;17/10/2014;24/10/2014;31/10/2014;14/11/2014;21/11/2014;28/11/2014;12/12/2014;19/12/2014;26/12/2014;";"2014-10-03 00:00:00.0";"2014-12-05 23:59:00.0";"11:00";" Periodicidad: mensual Días: 3 de octubre; 7 de noviembre; 5 de diciembre Horario: de 11:00 a 12:30 h ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5232b81f314e3410VgnVCM1000000b205a0aRCRD";"Club de lectura";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7efa08650ed3410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo)";"439977";"4481329";"40.47860087334554";"-3.7094408342979954";"/contenido/actividades/CursosTalleres";
7295383;"Club de lectura";"";"1";"1";"L";"29/12/2014;22/12/2014;15/12/2014;8/12/2014;24/11/2014;17/11/2014;10/11/2014;27/10/2014;20/10/2014;13/10/2014;29/9/2014;22/9/2014;15/9/2014;8/9/2014;1/9/2014;";"2014-10-06 00:00:00.0";"2014-12-01 23:59:00.0";"19:00";" Periodicidad: Mensual Días: 6 de octubre; 3 de noviembre; 1 de diciembre Horario: de 19:00 a 20:30 horas  ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6db9b81f314e3410VgnVCM1000000b205a0aRCRD";"Club de lectura";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7efa08650ed3410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Ángel González (Latina)";"435063";"4472320";"40.397074625115906";"-3.7664885474841556";"/contenido/actividades/CursosTalleres";
7299453;"Club de lectura";"";"1";"1";"M";"30/12/2014;23/12/2014;16/12/2014;9/12/2014;25/11/2014;18/11/2014;11/11/2014;28/10/2014;21/10/2014;14/10/2014;30/9/2014;23/9/2014;16/9/2014;9/9/2014;2/9/2014;";"2014-10-07 00:00:00.0";"2014-12-02 23:59:00.0";"19:00";" Periodicidad: mensual Días: 7 de octubre; 4 de noviembre; 2 de diciembre Horario: de 19:00 a 20:30 h ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dfaeb81f314e3410VgnVCM1000000b205a0aRCRD";"Club de lectura";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7efa08650ed3410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Canillejas (San Blas-Canillejas)";"448229";"4477693";"40.44640229188281";"-3.6117933204271098";"/contenido/actividades/CursosTalleres";
7300003;"Club de lectura";"";"1";"1";"X";"3/9/2014;10/9/2014;17/9/2014;24/9/2014;8/10/2014;15/10/2014;22/10/2014;29/10/2014;12/11/2014;19/11/2014;26/11/2014;10/12/2014;17/12/2014;24/12/2014;31/12/2014;";"2014-10-01 00:00:00.0";"2014-12-03 23:59:00.0";"19:00";" Periodicidad: mensual Días: 1 de octubre; 5 de noviembre; 3 de diciembre Horario: de 19:00 a 20:30 h ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=76d1b81f314e3410VgnVCM1000000b205a0aRCRD";"Club de lectura";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7efa08650ed3410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Iván de Vargas (Centro)";"439884";"4474170";"40.41410290844665";"-3.7098591212735883";"/contenido/actividades/CursosTalleres";
7300548;"Club de lectura";"";"1";"1";"J";"25/12/2014;18/12/2014;4/12/2014;27/11/2014;20/11/2014;6/11/2014;30/10/2014;23/10/2014;16/10/2014;2/10/2014;25/9/2014;18/9/2014;11/9/2014;4/9/2014;";"2014-10-09 00:00:00.0";"2014-12-11 23:59:00.0";"11:00";" Periodicidad: mensual Días: 9 de octubre; 13 de noviembre; 11 de diciembre Horario: de 11:00 a 12:30 h ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1e34b81f314e3410VgnVCM1000000b205a0aRCRD";"Club de lectura";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7efa08650ed3410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=17f879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Pío Baroja (Arganzuela)";"440076";"4472607";"40.40003652682007";"-3.7074488154950584";"/contenido/actividades/CursosTalleres";
7301092;"Club de lectura";"";"1";"1";"M";"30/12/2014;23/12/2014;16/12/2014;2/12/2014;25/11/2014;18/11/2014;4/11/2014;28/10/2014;21/10/2014;7/10/2014;30/9/2014;23/9/2014;16/9/2014;9/9/2014;2/9/2014;";"2014-10-14 00:00:00.0";"2014-12-09 23:59:00.0";"19:00";" Periodicidad: mensual Días: 14 de octubre; 11 de noviembre; 9 de diciembre Horario: de 19:00 a 20:30 h ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d2e8291f544e3410VgnVCM1000000b205a0aRCRD";"Club de lectura";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7efa08650ed3410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5870007f8441f010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Dámaso Alonso (Chamartín)";"442072";"4480075";"40.467453379213175";"-3.6846112774442705";"/contenido/actividades/CursosTalleres";
7301638;"Club de lectura";"";"1";"1";"X";"31/12/2014;24/12/2014;17/12/2014;3/12/2014;26/11/2014;19/11/2014;5/11/2014;29/10/2014;22/10/2014;15/10/2014;1/10/2014;24/9/2014;17/9/2014;10/9/2014;3/9/2014;";"2014-10-08 00:00:00.0";"2014-12-10 23:59:00.0";"19:00";" Periodicidad: mensual Días: 8 de octubre; 12 de noviembre; 10 de diciembre Horario: de 19:00 a 20:30 h ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4f9d291f544e3410VgnVCM1000000b205a0aRCRD";"Club de lectura";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7efa08650ed3410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9e8f3d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Miguel Delibes (Moratalaz)";"444706";"4473646";"40.40971737692924";"-3.6529822109115133";"/contenido/actividades/CursosTalleres";
