NAME,TYPE,DEPTPUBLIC,LATWGS84,LONWGS84
"Chin, John Yehall Elementary School",Elementary,7,37.798611,-122.403217
"Stockton, Commodore Early Education School",Early Education,7,37.795045,-122.409086
"Lau, Gordon J. Elementary School",Elementary,7,37.794079,-122.408925
Galileo High School,High School,7,37.803748,-122.424479
"Parks, Rosa Elementary School",Elementary,7,37.783493,-122.430012
Civic Center Secondary School,County School,7,37.780314,-122.422878
"Lilienthal, Claire (K-2 Madison Campus)",Elementary,7,37.787226,-122.458067
"Yu, Alice Fong Alternative School",Elementary,7,37.75891,-122.469711
Noriega Early Education School,Early Education,7,37.75385,-122.503659
Independence High School,High School,7,37.743402,-122.499897
Clarendon Elementary School,Elementary,7,37.753757,-122.456323
HARVEY MILK CIVIL RIGHTS ACADEMY,Elementary,7,37.75898,-122.436455
Rooftop (5-8 Mayeda Campus),Elementary,7,37.757408,-122.44449
Rooftop (K-4 Burnett Campus),Elementary,7,37.754995,-122.443917
"Moscone, George Elementary School",Elementary,7,37.756999,-122.412562
"Mahler, Theresa S. Early Education School",Early Education,7,37.755274,-122.428097
"Chavez, Cesar Elementary School",Elementary,7,37.754899,-122.415092
International Studies Academy,High School,7,37.761826,-122.400805
Malcolm X Elementary School,Elementary,7,37.734206,-122.381102
Metropolitan Arts and Tech,Charter School,7,37.732122,-122.382241
"Flynn, Leonard Elementary School",Elementary,7,37.747738,-122.411965
"Asawa, Ruth - San Francisco School of the Arts (SOTA)",High School,7,37.745431,-122.448667
"Carver, Dr. George Washington Elementary School",Elementary,7,37.731843,-122.38557
Five Keys Charter,Charter School,7,37.777153,-122.40218
Tenderloin Elementary School,Elementary,7,37.781855,-122.419951
"O'Connell, John High School",High School,7,37.759517,-122.414215
Academy of Arts and Sciences,High School,7,37.745158,-122.449485
S. F. International High School,High School,7,37.755246,-122.40864
"Carmichael, Bessie Early Education School",Early Education,7,37.776573,-122.406787
"Chavez, Cesar Preschool",Early Education,7,37.754763,-122.415083
"Cobb, Dr. William Preschool",Early Education,7,37.787992,-122.439154
"Drew, Dr. Charles Early Education School",Early Education,7,37.731768,-122.39388
Sanchez Preschool,Early Education,7,37.763168,-122.430499
"Flynn, Leonard Early Education School",Early Education,7,37.748043,-122.411947
Garfield Early Education School,Early Education,7,37.801902,-122.406797
Grattan Early Education School,Early Education,7,37.763498,-122.450397
Guadalupe Elementary School,Elementary,7,37.710315,-122.434117
"Harte, Bret Early Education School",Early Education,7,37.718197,-122.389804
"Key, Francis Scott Early Education School",Early Education,7,37.757835,-122.502273
"Taylor, E.R. Preschool",Early Education,7,37.727413,-122.40736
Las Americas Early Education School,Early Education,7,37.757122,-122.413248
"Lau, Gordon J. Preschool",Early Education,7,37.794153,-122.40859
"McCoppin, Frank Early Education School",Early Education,7,37.776442,-122.464238
Monroe Elementary School,Elementary,7,37.725513,-122.430289
"Muir, John Preschool",Early Education,7,37.77361,-122.428774
"Parker, Jean Early Education School",Early Education,7,37.797517,-122.411201
Redding Early Education School,Early Education,7,37.789491,-122.419396
S. F. Montessori Early Education School,Early Education,7,37.792776,-122.433636
S. F. Public Montessori Elementary School,Elementary,7,37.792736,-122.433935
"Serra, Junipero Early Education School (1)",Early Education,7,37.736841,-122.421512
"Serra, Junipero Early Education School (2)",Early Education,7,37.738458,-122.422599
Spring Valley Early Education School,Early Education,7,37.793901,-122.418873
Starr King Preschool,Early Education,7,37.753043,-122.399155
Sutro Early Education School,Early Education,7,37.783481,-122.471401
Tenderloin Early Education School,Early Education,7,37.781717,-122.420014
"Webster, Daniel Early Education School",Early Education,7,37.760394,-122.395977
"Weill, Raphael Early Education School",Early Education,7,37.783283,-122.429773
Woodside Learning Center,County School,7,37.745927,-122.452505
Jefferson Out Of School (OST) Program,Elementary,7,37.762479,-122.396202
KIPP Bayview Academy,Charter School,7,37.719343,-122.396363
KIPP SF Bay Academy,Charter School,7,37.782999,-122.437466
Larkin Street Youth Services,County School,7,37.788023,-122.419201
Leadership Charter High School,Charter School,7,37.721439,-122.443262
Life Learning Academy Charter School,Charter School,7,37.825298,-122.367929
Presidio Early Education School,Early Education,7,37.797817,-122.460933
City Arts and Tech High School,Charter School,7,37.718886,-122.425108
