INCIDENTID,CATEGORY,DESCRIPTION,DATE,DISTRICT,STATE,ADDRESS,asWKT
140685275,WARRANTS,WARRANT ARREST,16-08-2014,CENTRAL,"ARREST, BOOKED",400.0 Block of SUTTER ST,POINT(-122.407559866261 37.7893236015181)
146202241,LARCENY THEFT,GRAND THEFT FROM UNLOCKED AUTO,30-09-2014,NORTHERN,NONE,CHESTNUT ST / PIERCE ST,POINT(-122.439504944797 37.800402493391)
140821899,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,29-09-2014,PARK,NONE,2600.0 Block of GEARY BL,POINT(-122.447204009307 37.7823643134787)
140735187,FRAUD,"CREDIT CARD, THEFT BY USE OF",31-08-2014,NORTHERN,NONE,GEARY BL / VANNESS AV,POINT(-122.421395819115 37.7856843389769)
146198424,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,24-09-2014,SOUTHERN,NONE,0.0 Block of GOUGH ST,POINT(-122.421906814725 37.7730545405617)
140661253,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,08-08-2014,TARAVAL,NONE,BUCKINGHAM WY / WINSTON DR,POINT(-122.478697901862 37.728209625424)
140671183,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,11-08-2014,SOUTHERN,NONE,BRANNAN ST / RITCH ST,POINT(-122.394843884059 37.7796643336652)
140735541,VEHICLE THEFT,STOLEN AUTOMOBILE,26-08-2014,INGLESIDE,NONE,3200.0 Block of SAN BRUNO AV,POINT(-122.400909857869 37.720842180925)
140665813,"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY,10-08-2014,BAYVIEW,"ARREST, CITED",2700.0 Block of SAN BRUNO AV,POINT(-122.403168934697 37.7266993243594)
140729657,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",30-08-2014,INGLESIDE,"ARREST, CITED",CAYUGA AV / OCEAN AV,POINT(-122.43880804195 37.7236014483858)
140794365,MISSING PERSON,MISSING ADULT,20-09-2014,PARK,NONE,4100.0 Block of 17TH ST,POINT(-122.438828714787 37.7622993051875)
140738733,VEHICLE THEFT,STOLEN AUTOMOBILE,01-09-2014,TARAVAL,NONE,1300.0 Block of 47TH AV,POINT(-122.460951552989 37.7635611356602)
146160683,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,12-08-2014,SOUTHERN,NONE,800.0 Block of BRYANT ST,POINT(-122.403742962696 37.7752316978411)
146164011,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,13-08-2014,CENTRAL,NONE,BROADWAY ST / DAVIS ST,POINT(-122.398699116407 37.7988800262895)
140639006,NON CRIMINAL,LOST PROPERTY,01-08-2014,RICHMOND,NONE,3600.0 Block of CALIFORNIA ST,POINT(-122.453420746313 37.7863807505586)
140733404,LARCENY THEFT,GRAND THEFT BICYCLE,31-08-2014,SOUTHERN,NONE,800.0 Block of 3RD ST,POINT(-122.391805008238 37.7781399144585)
140668550,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",11-08-2014,TARAVAL,NONE,100.0 Block of WESTPORTAL AV,POINT(-122.467213439515 37.7394851336032)
140681621,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",14-08-2014,BAYVIEW,NONE,GILMAN AV / GRIFFITH ST,POINT(-122.388139317244 37.7182356373911)
140680463,LIQUOR LAWS,SALE OF ALCOHOL TO MINOR,14-08-2014,NORTHERN,NONE,2400.0 Block of CHESTNUT ST,POINT(-122.442866761459 37.7999403847941)
140819612,TRESPASS,TRESPASSING,28-09-2014,INGLESIDE,NONE,4700.0 Block of MISSION ST,POINT(-122.437492918722 37.7211885276671)
140771426,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,13-09-2014,SOUTHERN,PSYCHOPATHIC CASE,100.0 Block of SOUTHPARK AV,POINT(-122.394022844292 37.7815730310769)
146158434,LARCENY THEFT,GRAND THEFT OF PROPERTY,09-08-2014,SOUTHERN,NONE,2ND ST / TOWNSEND ST,POINT(-122.390531404145 37.7806070798774)
146161330,NON CRIMINAL,LOST PROPERTY,13-08-2014,SOUTHERN,NONE,800.0 Block of BRYANT ST,POINT(-122.403742962696 37.7752316978411)
140729011,MISSING PERSON,FOUND PERSON,29-08-2014,PARK,LOCATED,2200.0 Block of GEARY BL,POINT(-122.440139504522 37.7832591173474)
146159567,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,02-08-2014,SOUTHERN,NONE,HARRISON ST / 4TH ST,POINT(-122.399617558782 37.7807906550364)
140759983,VEHICLE THEFT,STOLEN AUTOMOBILE,09-09-2014,INGLESIDE,NONE,BROMPTON AV / BOSWORTH ST,POINT(-122.434997541897 37.7337179258354)
140689716,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",17-08-2014,MISSION,NONE,3900.0 Block of 18TH ST,POINT(-122.432765253579 37.7610555872104)
140717038,VEHICLE THEFT,STOLEN AUTOMOBILE,26-08-2014,INGLESIDE,NONE,500.0 Block of EXCELSIOR AV,POINT(-122.42924358986 37.7242776995086)
