NAME,TYPE,CHILDREN,ADDRESS,asWKT
St. Finn Barr School,CATHOLIC,K - 8,419 Hearst Avenue,POINT(-122.447411 37.730445)
St. Ignatius College Preparatory,CATHOLIC,9 - 12,2001 37th Avenue,POINT(-122.496384 37.746924)
St. Monica School,CATHOLIC,K - 8,5920 Geary Boulevard,POINT(-122.483068 37.780498)
St. Thomas the Apostle School,CATHOLIC,K - 8,3801 Balboa Street,POINT(-122.499773 37.775097)
St. Vincent de Paul School,CATHOLIC,K - 8,2350 Green Street,POINT(-122.437854 37.796112)
Sts. Cyril and Methodius High School,"ORTHODOX, BILINGUAL (ENGLISH, RUSSIAN)",9  - 12,6200 Geary Boulevard,POINT(-122.486024 37.780342)
San Francisco Adventist School,,K - 10,66 Geneva Avenue,POINT(-122.45119 37.721714)
San Francisco Chinese Parents Community,,PK - 5,843 Stockton Street,POINT(-122.408182 37.793737)
San Francisco Christian School,,K - 12,25 Whittier Street,POINT(-122.447754 37.710037)
San Francisco City Academy,,K - 8,302 Eddy Street,POINT(-122.412942 37.78408)
San Francisco Day School,,K - 8,350 Masonic Avenue,POINT(-122.446283 37.778042)
San Francisco Friends School,,K - 8,117 Diamond Street,POINT(-122.436799 37.760124)
San Francisco University High School,,9 - 12,3065 Jackson Street,POINT(-122.44535 37.790655)
Muhammad University of Islam,ISLAMIC,K - 12,5048 3rd Street,POINT(-122.391768 37.732795)
Sand Paths Academy,DISTURBED CHILDREN,6 - 12,1218 South Van Ness Avenue,POINT(-122.41672 37.753465)
S.R. Martin College Preparatory,,9 - 12,2660 San Bruno Avenue,POINT(-122.404095 37.727937)
Sterne School,LEARNING DIFFICULTIES,5 - 12,2690 Jackson Street,POINT(-122.439357 37.792057)
The San Francisco School,,PK - 8,300 Gaven Street,POINT(-122.411698 37.73278)
Cal Fed Youth Chance High,,9 - 12,220 Golden Gate Avenue,POINT(-122.414273 37.782099)
Town School for Boys,BOYS,K - 8,2750 Jackson Street,POINT(-122.440129 37.792034)
Urban School of San Francisco,,9 - 12,1563 Page Street,POINT(-122.446384 37.770749)
Voice of Pentecost Academy,,K - 12,1970 Ocean Avenue,POINT(-122.463974 37.726364)
"West Portal Lutheran School (K,4-8)",,"K, 4 - 8",200 Sloat Boulevard,POINT(-122.473452 37.735356)
Woodside International School,,6 - 12,1555 Irving Street,POINT(-122.474748 37.763432)
Youth Chance High School,,9 - 12,25 14th Street,POINT(-122.414142 37.768336)
Zion Lutheran School,,K - 8,495 09th Avenue,POINT(-122.467595 37.779218)
Convent of the Sacred Heart High School,"GIRLS, CATHOLIC",9-12,2222 Broadway,POINT(-122.43396 37.794865)
Open Book School,,9 - 11,1832 Buchanan Street,POINT(-122.429854 37.786982)
Montessori House Of Children,,K - 2,1187 Franklin Street,POINT(-122.423414 37.785047)
French-American International School,"BILINGUAL (ENGLISH, FRENCH)",PK-12,150 Oak Street,POINT(-122.421832 37.775381)
Walden High Academy,,8 - 12,214 Haight Street,POINT(-122.426145 37.77294)
Cow Hollow Kindergarten,,K,2521 Scott Street,POINT(-122.440119 37.793323)
One Fifty Parker Avenue School,,K,150 Parker Avenue,POINT(-122.454098 37.782818)
Pacific Primary,,K,1500 Grove Street,POINT(-122.441736 37.775657)
Erikson School,,,1155 Page Street,POINT(-122.439704 37.771605)
Olympia Institute,,7 - 12,950 Clement Street,POINT(-122.469526 37.782892)
Star of the Sea Elementary,CATHOLIC,K - 8,360 9th Avenue,POINT(-122.467013 37.781832)
Challenge To Learning,,7 - 12,924 Balboa Street,POINT(-122.468844 37.777262)
Oakes Children's Center,,,1348 10th Avenue,POINT(-122.46699 37.763075)
Sunset Bible,,,1690 21st Avenue,POINT(-122.478584 37.756269)
Parkside Preschool And Kindergarten,,K,2425 19th Avenue,POINT(-122.475988 37.742514)
Edgewood Center For Children and Families,,,1801 Vicente Street,POINT(-122.486256 37.737985)
Eureka Learning Center,,K,464 Diamond Street,POINT(-122.437008 37.754966)
Holy Family Day Home,,K,299 Dolores Street,POINT(-122.425842 37.764926)
Rise Institute,,,1760 Cesar Chavez,POINT(-122.39495 37.750466)
Joshua Marie Cameron Academy - Whitney,,6 - 9,100 Whitney Yound Circle,POINT(-122.384213 37.73404)
Joshua Marie Cameron Academy - Plaza Campus,,9 -12,3801 Third Street,POINT(-122.387432 37.74194)
Living Hope Christian,,K - 12,1209 Geneva Avenue,POINT(-122.435828 37.714337)
Lakeside Presbyterian Center For Children,,PK-K,201 Eucalyptus Drive,POINT(-122.47528 37.730674)
St. Thomas More School,CATHOLIC,K-8,50 Thomas More Way,POINT(-122.473568 37.712567)
St. Stephen's School,CATHOLIC,K-8,401 Eucalyptus Drive,POINT(-122.477721 37.730662)
Sacred Heart/Saint Dominic School (5-8),,5-8,735 Fell Street,POINT(-122.430153 37.7747)
Jewish Community High School for Boys,,9 -12,1835 Ellis Street,POINT(-122.436552 37.781354)
St. John of San Francisco Orthodox Academy,ORTHODOX,K-12,6210 Geary Boulevard,POINT(-122.486024 37.780342)
Stuart Hall for Boys School,"BOYS, CATHOLIC",K - 8,2252 Broadway,POINT(-122.43396 37.794865)
The Scandanavian School,,PK,20 Woodside Avenue,POINT(-122.457905 37.746575)
The Bay School of San Francisco,,9 - 12,35 Keyes Avenue,POINT(-122.45574 37.800649)
Hergl School,,N/A,1570 Greenwich Street,POINT(-122.425722 37.800375)
Alta Vista School,,K - 12,245 Valencia Street,POINT(-122.421816 37.76894)
Cornerstone Academy Kindergarten,BAPTIST,K,1925 Lawton Street,POINT(-122.483662 37.757418)
Fei Tian Academy of the Arts California,,6 - 12,101 15th Street,POINT(-122.402129 37.767152)
Megan Furth Academy,ROMAN CATHOLIC,k - 8,2445 Pine Street,POINT(-122.435948 37.787471)
Spectrum Center Inc,,6 - 12,95 Gough Street,POINT(-122.422715 37.773784)
St. Paul's,ROMAN CATHOLIC,k - 8,1690 Church Street,POINT(-122.427105 37.743916)
Wen Jian Ying,,K - 12,259 Judson Avenue,POINT(-122.447567 37.72802)
