BUILDID,NAME,CATEGORY,DEPARTMENT
583,SEWER R/W FOR SEWER ACCESS AT DIAMOND & BOSWORTH,PUC Clean Water Program,40
584,SEWER R/W FOR SEWER ACCESS AT JOOST & BADEN I,PUC Clean Water Program,40
585,SEWER R/W FOR SEWER ACCESS AT JOOST & BADEN II,PUC Clean Water Program,40
586,LAMARTINE ST SEWER R/W,PUC Clean Water Program,40
589,GENEVA AVE REMAINDER AT CAYUGA,Public Works,90
593,BROTHERHOOD WAY,Public Works,90
595,PALMETTO AVE ,Public Works,90
596,SEWER RIGHT-OF-WAY AT DE LONG,PUC Clean Water Program,40
597,SLOPE PROTECTION AT ALEMANY,Public Works,90
3702,PORT LANDS,Port,39
598,SAN JOSE AVE REMAINDER AT 3051 SAN JOSE,Public Works,90
600,SLOAT & JUNIPERO SERRA STREETS,Public Works,90
601,STAIRWAY & PEDESTRIAN WAY,Public Works,90
602,STAIRWAY & PEDESTRIAN SUB-WAY,Public Works,90
605,EXCESS PROPERTY,Public Works,90
610,LUNADO COURT,Public Works,90
617,GARFIELD SQUARE ROW,Public Works,90
618,"UNITED NATIONS PLAZA PTNS LOT 39, 46, 41",Public Works,90
619,STAIRWAY & OPEN SPACE,Public Works,90
592,UNDEDICATED ST 51 SAN DIEGO,Public Works,90
50219,Future Bay Shore Blvd. Widening,MTA,35
3445,"BUREAU OF LIGHT, HEAT & POWER",PUC Hetch Hetchy,49
620,PLAZA CLIPPER & 26TH STS,Public Works,90
621,BROADWAY TUNNEL REMAINDER,Public Works,90
623,UNDEDICATED ST,Public Works,90
624,SLOPE PROTECTION AT EL CAMINO DEL MAR,Public Works,90
625,SUNSET PARKWAY TO SLOAT BLVD,Public Works,90
626,SLOPE PROTECTION SW LAGUNA HONDA,Public Works,90
627,SEWER RIGHT-OF-WAY 5'' STRIP,PUC Clean Water Program,40
929,150 OTIS BUILDING,Other,122
629,TRAFFIC ISLAND AT MERRITT,Public Works,90
630,MARKET ST ,Public Works,90
633,OLD BURNETT AVE VACATED,Public Works,90
636,STAIRWAY ORD COURT,Public Works,90
637,SLOPE PROTECTION AT ROOSEVELT,Public Works,90
638,TRAFFIC ISLAND AT CORBETT,Public Works,90
642,SLOPE PROTECTION AT MARIETTA,Public Works,90
643,SLOPE PROTECTION AT PORTOLA,Public Works,90
644,SEWER DRAINAGE JOOST,PUC Clean Water Program,40
645,PORTOLA DR ,Public Works,90
648,SLOPE PROTECTION AT SAN LEANDRO,Public Works,90
650,SLOPE PROTECTION,Public Works,90
651,NORTH PT CROSSTOWN TRANSPORT MAIN,PUC Clean Water Program,40
652,OBSERVATION AREA,Public Works,90
661,ASHBURY STREET TANK & TANK HOUSE,Fire,31
50206,BAYVIEW HILL PLAYGROUND,Recreation & Park,42
663,FIRE STATION #26,Fire,31
665,FIRE STATION #19,Fire,31
667,FIRE STATION #11,Fire,31
669,FIRE STATION #43,Fire,31
671,FIRE STATION #9,Fire,31
673,FIRE STATION #17,Fire,31
675,FIRE DEPT HQTRS/SALT WATER PUMPING STATION #1,Fire,31
677,FIRE STATION #8,Fire,31
679,FIRE STATION #6,Fire,31
689,FIRE STATION #7/FIRE COLLEGE,Fire,31
691,PIPELINE RIGHT-OF-WAY,Fire,31
695,FIRE STATION #12,Fire,31
697,SUNSET TANK & PUMP STATION,Fire,31
699,FIRE STATION #40,Fire,31
701,FIRE STATION #23,Fire,31
703,FIRE STATION #31,Fire,31
705,FIRE STATION #18,Fire,31
707,FIRE STATION #22,Fire,31
709,FIRE STATION #14,Fire,31
711,FIRE STATION #34,Fire,31
713,ENGINE 21 INACTIVE,Fire,31
715,FIRE STATION #21,Fire,31
719,FIRE STATION #36,Fire,31
723,FIRE STATION #3,Fire,31
725,FIRE STATION #38,Fire,31
729,FIRE STATION #16,Fire,31
733,FIRE DEPT HEADQUARTERS FORMER,Fire,31
735,FIRE CHIEF'S RESIDENCE,Fire,31
737,FIRE STATION #41,Fire,31
739,JONES ST TANK & TANK HOUSE,Fire,31
741,FIRE STATION #13,Fire,31
743,FIRE STATION #2,Fire,31
745,FIRE STATION #28,Fire,31
747,FIRE STATION #1,Fire,31
749,FIRE STATION #24,Fire,31
137,PINELAKE PARK,Recreation & Park,42
751,FIRE STATION #39,Fire,31
755,FIRE STATION #29,Fire,31
757,FIRE STATION #37,Fire,31
761,EQUIPMENT UNIT HEADQUARTERS,Fire,31
763,FIRE STATION #32,Fire,31
765,FIRE STATION #42,Fire,31
767,FIRE STATION #44,Fire,31
769,FIRE STATION #33,Fire,31
798,SEWAGE PUMP STATION,PUC Clean Water Program,40
808,SEA CLIFF #1 SEWAGE PUMP,PUC Clean Water Program,40
810,SEA CLIFF #2 PUMP STATION,PUC Clean Water Program,40
814,CESAR CHAVEZ  ST CIRCLE,Public Works,90
816,PARK MERCED SEWAGE PUMP STATION,PUC Clean Water Program,40
818,NORTHPOINT SEWAGE TREATMENT PLANT,PUC Clean Water Program,40
820,GRIFFITH ST SEWAGE PUMPING STATION,PUC Clean Water Program,40
857,DRUMM ST PUMP STATION,PUC Clean Water Program,40
863,4TH ST NORTH SEWAGE PUMPING STATION,PUC Clean Water Program,40
871,DPH Central Office,Health,83
893,Curry Senior Center,Health,83
895,SAN FRANCISCO CITY CLINIC,Health,83
897,DISTRICT 1 HEALTH CTR,Health,83
899,DISTRICT HEALTH CTR 2,Health,83
901,DISTRICT 3 HEALTH CTR,Health,83
903,HEALTH CENTER 4 AIR RIGHTS OVER BROADWAY TUNNEL,Health,83
935,POTRERO HILL HEALTH CTR,Health,83
937,SOUTHEAST HEALTH CTR,Health,83
939,50 Raymond,Recreation & Park,42
1005,FIRE STATION #35/FIRE BOAT HEADQUARTERS,Fire,31
3525,PORT LANDS,Port,39
1017,CROCKER AMAZON PLAYGROUND,Recreation & Park,42
1092,TENDERLOIN RECREATION CENTER,Recreation & Park,42
1096,HOMELESS CENTER,Other,45
1098,HOMELESS CENTER POLK ST.,Other,45
3712,VACATED STREET,Port,39
1840,PORTSMOUTH SQ. PARKING GARAGE,Recreation & Park,42
1860,PERFORMING ARTS GARAGE,Other,36
2116,POTRERO HEIGHTS RESERVOIR WATER FACILITIES,PUC Water Department,47
2118,STANFORD HEIGHTS RESERVOIR WATER FACILITIES,PUC Hetch Hetchy,32
2122,SUNSET RESERVOIR WATER FACILITIES,PUC Clean Water Program,40
2124,SUTRO RESERVOIR WATER FACILITIES,PUC Water Department,47
922,LAGUNA HONDA HOSPITAL,Health,83
2126,UNIVERSITY MOUND RESERVOIR WATER FACILITIES,PUC Water Department,47
635,SLOPE PROTECTION AND WALKWAY,Recreation & Park,42
3789,STATE RELINQUISHMENT,Public Works,90
3331,CALIFORNIA OFF-STREET PARKING,Other,36
3333,POLK & BUSH PARKING GARAGE,Real Estate,71
3336,ALEMANY COMMUNITY COLLEGE CENTER,Other,14
3703,PORT LANDS,Port,39
3743,PORT LANDS,Port,39
3354,JOHN ADAMS COMMUNITY COLLEGE CENTER,Other,14
3361,POINT LOBOS SHORELINE DEVELOPMENT,Recreation & Park,42
3709,FORMER SEA WALL #19,Port,39
3371,RICHMOND TRANSPORT,PUC Clean Water Program,40
237,MOSCONE PLAYGROUND,Recreation & Park,42
3388,RESERVOIR LANDS,PUC Water Department,47
3389,SE 14TH & ORTEGA AVENUES,Recreation & Park,42
3395,FOREST HILL TANK,PUC Water Department,47
3508,20'' STRIP ALONG E LINE,PUC Clean Water Program,40
611,VIEW PROTECTION DPW,Public Works,90
3406,LAGUNA HONDA RESERVOIR,PUC Water Department,47
3774,CENTRAL FREEWAY PROPERTIES 793-36,Public Works,90
3419,COMMUNITY COLLEGE ADMIN. BLDG.,Other,14
3420,CENTRAL PERMIT OFFICE,Real Estate,71
3708,FORMER SEA WALL #18,Port,39
753,FIRE STATION #30 INACTIVE,Fire,31
3437,DOWNTOWN CAMPUS,Other,14
3438,EMBARCADERO ROADWAY PROJECT,Public Works,90
3441,WAREHOUSE,Other,91
115,APTOS PLAYGROUND,Recreation & Park,42
3443,BRYANT STREET PIPE YARD,PUC Water Department,47
18,SAN FRANCISCO ZOO,Recreation & Park,42
3460,BUREAU OF EQUIPMENT,Fire,31
3461,PUMP STATION,PUC Water Department,47
