BUILDID,NAME,CATEGORY,DEPARTMENT
146,CARL LARSEN PARK,Recreation & Park,42
3642,CITY-OWNED PARCEL 2657020,Real Estate,71
88,ADAM ROGERS PARK,Recreation & Park,42
3020,SAN FRANCISCO INTERNATIONAL AIRPORT,Other,27
594,ALEMANY BLVD REMAINDER AT CHESTER,Public Works,90
591,ALEMANY BLVD  REMAINDER AT FARAGUT,Public Works,90
3528,MINI PARK FILLMORE STREET,Recreation & Park,42
721,FIRE STATION #5,Fire,31
649,NW CORNER LOT 7,Public Works,90
123,STANFORD HTS PLAYGROUND,Recreation & Park,42
3644,CITY-OWNED PARCEL 3059010A,Real Estate,71
373,MUNI METRO RAIL CTR,MTA,35
3649,UNDEDICATED STREET,Real Estate,71
50201,SUPERIOR COURT FACILITIES,Real Estate,71
265,ALICE MARBLE TENNIS COURTS,Recreation & Park,42
3372,4800 BALBOA,Recreation & Park,42
3494,AMAZON RESERVOIR TRACT,PUC Hetch Hetchy,32
3657,CITY-OWNED PARCEL 6163038,Real Estate,71
67,BERNAL HEIGHTS RECREATION CENTER,Recreation & Park,42
3662,CITY-OWNED PARCEL 6786008,Real Estate,71
3504,COLLEGE HILL STATION,PUC Water Department,47
3410,"WATER DEPARTMENT, PARCEL 370",PUC Water Department,47
3678,NORTH MISSION OPEN SPACE,Recreation & Park,42
759,ENGINE 16 INACTIVE,Fire,31
350,INGLESIDE POLICE STATION,Police,38
905,DISTRICT 5 HEALTH CTR,Health,83
50220,1550 Evans/330 Newhall,PUC Clean Water Program,40
12,ROLPH-NICOLE PLAYGROUND,Recreation & Park,42
282,CHRISTMAS TREE POINT LANDS,Real Estate,71
3679,JUNIPERO SERRA OVERPASS,Public Works,90
252,PORTSMOUTH SQUARE,Recreation & Park,42
3411,CRESTLINE PUMP HOUSE,PUC Water Department,47
440,CENTRAL SHOPS,Other,91
604,ST ANNE STREET VACATED,Public Works,90
245,ST MARY'S SQUARE,Recreation & Park,42
302,ST MARY''S SQUARE GARAGE,Real Estate,71
154,WEST SUNSET PLAYGROUND,Recreation & Park,42
153,VACANT LOT,Recreation & Park,42
3487,WILDE AVE RESERVOIR,PUC Water Department,47
3704,PORT LANDS,Port,39
3680,PORT LANDS,Port,39
3683,PORT LANDS,Port,39
3682,PORT LANDS,Port,39
3684,PORT LANDS,Port,39
3681,PORT LANDS,Port,39
3685,PORT LANDS,Port,39
3686,PORT LANDS,Port,39
3687,PORT LANDS,Port,39
3688,PORT LANDS,Port,39
3692,PORT LANDS,Port,39
3691,PORT LANDS,Port,39
3689,PORT LANDS,Port,39
3690,PORT LANDS,Port,39
3694,PORT LANDS,Port,39
3695,PORT LANDS,Port,39
3696,PORT LANDS,Port,39
3697,PORT LANDS,Port,39
3698,PORT LANDS,Port,39
3699,PORT LANDS,Port,39
3700,PORT LANDS,Port,39
3710,VACATED PORTION OF MAIN ST,Port,39
3711,FORMER SEA WALL #20,Port,39
3713,VACATED STREET,Port,39
3717,VACATED STREET,Port,39
3714,FORMER SEA WALL #22,Port,39
3718,FORMER SEA WALL #23,Port,39
3719,FORMER SEA WALL #24,Port,39
3720,FORMER SEA WALL #25,Port,39
3733,MISSION ROCK,Port,39
3722,BURTON ACT PARCEL,Port,39
3723,VACATED STREET,Port,39
3721,PORT LANDS,Port,39
3734,FORMER SEA WALL #33,Port,39
3735,PORT LANDS,Port,39
3736,PORT LANDS,Port,39
3739,PORT LANDS,Port,39
3760,CATELLUS TRANSFER PARCEL,Port,39
3759,CATELLUS TRANSFER PARCEL,Port,39
3758,CATELLUS TRANSFER PARCEL,Port,39
3757,CATELLUS TRANSFER PARCEL,Port,39
3745,PORT LANDS,Port,39
3744,PORT LANDS,Port,39
3762,CATELLUS TRANSFER PARCEL,Port,39
3746,CATELLUS TRANSFER PARCEL,Port,39
3747,CATELLUS TRANSFER PARCEL,Port,39
3740,PORT LANDS,Port,39
3741,PORT LANDS,Port,39
3742,PORT LANDS,Port,39
3761,CATELLUS TRANSFER PARCEL,Port,39
3756,CATELLUS TRANSFER PARCEL,Port,39
3755,CATELLUS TRANSFER PARCEL,Port,39
3754,CATELLUS TRANSFER PARCEL,Port,39
3750,PORT LANDS,Port,39
3751,PORT LANDS,Port,39
3752,PORT LANDS,Port,39
3705,YACHT HARBOR,Port,39
3738,FORMER SEA WALL #349,Port,39
3764,MISSION BAY PARCEL,Port,39
3444,KING BLVD ROADWAY PROJECT,Public Works,90
3625,AT&T PARK,Port,39
398,PRESIDIO CARBARN,MTA,35
3765,CHINA BASIN PARCEL ADJACENT TO BALL PARK,Port,39
3693,PORT LANDS,Port,39
3767,UNION SQUARE GARAGE SUB-SURFACE,Recreation & Park,42
236,ALLYNE PARK,Recreation & Park,42
3784,DE YOUNG MEMORIAL MUSEUM,Other,61
499,NORTH BEACH BRANCH LIBRARY,Public Library,41
290,JAPANESE CULTURAL CTR GARAGE,Real Estate,71
410,CHURCH ST,MTA,35
875,PARK EMERGENCY HOSPITAL,Recreation & Park,42
3629,HAWK HILL OPEN SPACE,Recreation & Park,42
50198,UNDEDICATED STREET,Public Works,90
148,MCCOPPIN SQUARE,Recreation & Park,42
477,PARKSIDE BRANCH LIBRARY,Public Library,41
479,ORTEGA BRANCH LIBRARY,Public Library,41
547,SE EFFLUENT SEWER,PUC Clean Water Program,40
3788,VACATED STREET,Public Works,90
411,CHURCH ST,MTA,35
3632,QUESADA,Recreation & Park,42
319,MIDTOWN PARK APARTMENTS,Other,25
2106,COLLEGE HILL RESERVOIR WATER FACILITIES,PUC Water Department,47
879,ALEMANY EMERG HOSP & TRTMT CTR,Health,83
337,BROOKS HALL,Real Estate,71
269,LAKESIDE VILLAGE PARKING LOT,Real Estate,71
304,GOLDEN GATEWAY GARAGE,Real Estate,71
806,LAKESHORE PUMPING STATION,PUC Clean Water Program,40
3781,CENTRAL FREEWAY PROPERTIES 853-21,Public Works,90
50207,EDGEHILL WAY,Recreation & Park,42
3777,CENTRAL FREEWAY PROPERTIES 832-25,Public Works,90
3778,CENTRAL FREEWAY PROPERTIES 831-23,Public Works,90
3779,CENTRAL FREEWAY PROPERTIES 838-34,Public Works,90
3780,CENTRAL FREEWAY PROPERTIES 839-39,Public Works,90
631,SLOAT BLVD 35' STRIP,Public Works,90
3791,FORMER HICKORY STREET PARCEL,Public Works,90
3628,15TH AVE & KIRKHAM ST,Recreation & Park,42
1024,MIDTOWN TERRACE PLAYGROUND,Recreation & Park,42
3766,SOUTH OF JUSTIN HERMAN PLAZA,Recreation & Park,42
3792,TREAT AVENUE FUTURE WIDENING,Public Works,90
3793,18TH STREET VACATED,Port,39
55,JOHN MCLAREN PARK,Recreation & Park,42
3749,FIRE STATION #25,Fire,31
1770,FOREST HILL STATION,MTA,35
3748,PORT LANDS,Port,39
127,KITE HILL OPEN SPACE,Recreation & Park,42
3795,PARCELS ADJACENT TO McCLAREN PARK,Recreation & Park,42
3794,EMBARCADERO STREETVACATED,Port,39
50178,4TH ST/CHANNEL ST PARKING SITE,Public Works,90
50180,VACATED COHEN PLACE,Public Works,90
50179,SOUTH OF MARKET LIBRARY,Public Library,41
50182,BAY BRIDGE PUMP STATION EASEMENT,PUC Clean Water Program,40
571,ALPHA ST WIDENING ,Other,122
838,SE WATER POLLUTION CONTROL PLANT,PUC Clean Water Program,40
50184,AFFORDABLE HOUSING SITE,Other,107
1003,BERNAL HEIGHTS LIBRARY,Public Library,41
3596,RICHMOND POLICE STATION MINI PARK,Recreation & Park,42
364,CENTRAL POLICE STATION,Police,38
50186,AFFORDABLE HOUSING SITE 0141 011,Other,122
3623,EMBARCADERO ROADWAY PROJECT PHASE II,Public Works,90
348,Southeast Police Station,Police,38
481,SUNSET BRANCH LIBRARY,Public Library,41
50189,850 BRODERICK ST,Other,45
3753,PORT LANDS,Port,39
358,PARK POLICE STATION,Police,38
3786,MOSCONE EXPANSION SITE MOSCONE WEST,Real Estate,71
3619,555 7TH ST OFFICE BUILDING,Real Estate,71
3787,ESPRIT PARK,Recreation & Park,42
3790,OCEAN VIEW BRANCH LIBRARY,Public Library,41
50195,PAGE COMMUNITY GARDENS OPEN SPACE,Recreation & Park,42
346,POLICE PISTOL RANGE,Police,38
13,LAKE MERCED PARK,PUC Water Department,47
3769,SFPUC HEADQUARTERS,Real Estate,71
354,RICHMOND POLICE STATION,Police,38
50185,OLD MINT,Real Estate,71
50187,VISITACION VALLEY BRANCH LIBRARY Future Site,Public Library,41
50188,INGLESIDE BRANCH LIBRARY,Public Library,41
333,Grove Street lot,Real Estate,71
50210,1650 MISSION ST,Real Estate,71
375,OUTER MISSION SUBSTATION,MTA,35
377,BERNAL HTS SUBSTATION,MTA,35
381,JOHN M WOODS MOTORCOACH CTR,MTA,35
383,POTRERO DIV TROLLEY BUS YARD,MTA,35
385,BRYANT SUBSTATION/OVERHEAD DEPT,MTA,35
387,STORAGE & MAINTENANCE DIVISION,MTA,35
391,DOWNTOWN SUB-STATION,MTA,35
393,14TH AVE BUS SHELTER,MTA,35
396,8TH AVE SUBSTATION,MTA,35
401,FILLMORE SUB-STATION,MTA,35
403,CABLE CAR TERMINAL,MTA,35
404,CABLE CAR POWER HOUSE,MTA,35
1241,TARAVAL SUBSTATION,MTA,35
406,KIRKLAND BUS YARD,MTA,35
408,SUNSET TUNNEL,MTA,35
409,TERMINAL LOOP,MTA,35
3631,MAINTENANCE FACILITY,MTA,35
412,MUNI TURNAROUND FERRY PARK,MTA,35
