STOPID,NAME,asWKT
3241,11th St & Howard St   ,POINT(-122.41538 37.77283)
3242,11th St & Mission St   ,POINT(-122.41732 37.77457)
3243,11th St & Mission St   ,POINT(-122.416891 37.774038)
3244,11th St & Market St   ,POINT(-122.41852 37.7755)
3245,11th St & Market St   ,POINT(-122.418575 37.775368)
3247,14th Ave & Quintara St   ,POINT(-122.47074 37.74887)
3248,14th Ave & Santiago St  ,POINT(-122.4703 37.74503)
3249,14th Ave & Taraval St  ,POINT(-122.4703 37.7434)
3250,14th Ave & Taraval St  ,POINT(-122.47017 37.74317)
3251,14th Ave & Ulloa St  ,POINT(-122.47004 37.7416)
3252,14th Ave & Ulloa St  ,POINT(-122.47018 37.74153)
3253,14th St & Alpine Ter  ,POINT(-122.437213 37.767296)
3254,14th St & Church St  ,POINT(-122.429088 37.767768)
3255,14th St & Church St  ,POINT(-122.42913 37.76767)
3256,14th St & Castro St  ,POINT(-122.43584 37.76738)
3257,14th St & Castro St  ,POINT(-122.43578 37.76728)
3258,14th St & Noe St  ,POINT(-122.43327 37.76751)
3259,14th St & Noe St  ,POINT(-122.43356 37.7674)
3260,14th St & SANCHEZ ST,POINT(-122.431105 37.76767)
3261,14th St & Sanchez St  ,POINT(-122.431277 37.767536)
3262,15th Ave & Noriega St  ,POINT(-122.47217 37.75411)
3263,15th Ave & Ortega St  ,POINT(-122.47206 37.75268)
3264,15th Ave & Pacheco St  ,POINT(-122.47196 37.75081)
3265,15th Ave & Quintara St  ,POINT(-122.47183 37.74891)
3266,15th Ave & Taraval St  ,POINT(-122.471297 37.743124)
3267,15th Ave & Taraval St  ,POINT(-122.471405 37.743069)
3268,15th Ave & Ulloa St  ,POINT(-122.471192 37.741525)
3269,15th Ave & Ulloa St  ,POINT(-122.4713 37.741484)
3270,15th Ave & West Portal Ave   ,POINT(-122.470381 37.736387)
3272,16th Ave & Lawton St   ,POINT(-122.47367 37.75811)
3273,16th Ave & Lawton St  ,POINT(-122.4737 37.7593)
3275,16th Ave & Lomita Ave  ,POINT(-122.47351 37.75697)
3276,16th Ave & Moraga St   ,POINT(-122.47361 37.7563)
3277,16th Ave & Moraga St  ,POINT(-122.47368 37.75636)
3278,16th Ave & Noriega St  ,POINT(-122.47321 37.75425)
3279,16th Ave & Ortega St  ,POINT(-122.47309 37.7524)
3280,16th Ave & Pacheco St  ,POINT(-122.47295 37.75054)
3281,16th St & Bryant St  ,POINT(-122.409812 37.76572)
3282,16th St & Bryant St  ,POINT(-122.410328 37.765568)
3283,16th St & Church St  ,POINT(-122.428523 37.764579)
3284,16th St & Dolores St  ,POINT(-122.426156 37.764731)
3285,16th St & Dolores St  ,POINT(-122.426579 37.764575)
3286,16th St & Guerrero St  ,POINT(-122.423959 37.764853)
